学号,知识点id,分数
223401010202,6,-1
223401010203,6,-1
223401010204,6,-1
223401010205,6,-1
223401010206,6,-1
223401010207,6,-1
223401010208,6,-1
223401010209,6,-1
223401010210,6,-1
223401010211,6,-1
223401010212,6,-1
223401010214,6,-1
223401010215,6,-1
223401010216,6,-1
223401010217,6,-1
223401010218,6,-1
223401010219,6,-1
223401010220,6,-1
223401010221,6,-1
223401010222,6,-1
223401010223,6,-1
223401010224,6,-1
223401010225,6,-1
223401010226,6,-1
223401010227,6,-1
223401010228,6,-1
223401010229,6,-1
223401010230,6,-1
223401010231,6,-1
223401010232,6,-1
223401010233,6,-1
223401010234,6,-1
223401010235,6,-1
223401010236,6,-1
223401010237,6,-1
223401010238,6,-1
223401010301,6,-1
223401010302,6,-1
223401010303,6,-1
223401010304,6,-1
223401010305,6,-1
223401010306,6,-1
223401010307,6,-1
223401010308,6,-1
223401010310,6,-1
223401010311,6,-1
223401010312,6,-1
223401010313,6,-1
223401010314,6,-1
223401010315,6,-1
223401010316,6,-1
223401010317,6,-1
223401010318,6,-1
223401010319,6,-1
223401010320,6,-1
223401010321,6,-1
223401010322,6,-1
223401010323,6,-1
223401010324,6,-1
223401010325,6,-1
223401010326,6,-1
223401010327,6,-1
223401010328,6,-1
223401010329,6,-1
223401010330,6,-1
223401010331,6,-1
223401010332,6,-1
223401010334,6,-1
223401010335,6,-1
223401010401,6,-1
223401010402,6,-1
223401010403,6,-1
223401010404,6,-1
223401010405,6,-1
223401010406,6,-1
223401010407,6,-1
223401010408,6,-1
223401010409,6,-1
223401010410,6,-1
223401010411,6,-1
223401010412,6,-1
223401010413,6,-1
223401010414,6,-1
223401010415,6,-1
223401010416,6,-1
223401010417,6,-1
223401010418,6,-1
223401010419,6,-1
223401010420,6,-1
223401010421,6,-1
223401010422,6,-1
223401010423,6,-1
223401010424,6,-1
223401010425,6,-1
223401010426,6,-1
223401010427,6,-1
223401010428,6,-1
223401010429,6,-1
223401010430,6,-1
223401010431,6,-1
223401010432,6,-1
223401010433,6,-1
223401010434,6,-1
223401010435,6,-1
223401040101,6,-1
223401040102,6,-1
223401040103,6,-1
223401040104,6,-1
223401040105,6,-1
223401040106,6,-1
223401040107,6,-1
223401040108,6,-1
223401040109,6,-1
223401040110,6,-1
223401040111,6,-1
223401040112,6,-1
223401040113,6,-1
223401040114,6,-1
223401040115,6,-1
223401040116,6,-1
223401040117,6,-1
223401040118,6,-1
223401040119,6,-1
223401040120,6,-1
223401040121,6,-1
223401040122,6,-1
223401040123,6,-1
223401040124,6,-1
223401040125,6,-1
223401040126,6,-1
